"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"603014.SH","732014","威高血净",2025-05-08,-0001-12-31,4114,0,0,0,1.1,0,0
"301595.SZ","301595","太力科技",2025-05-08,-0001-12-31,2707,0,0,0,0.65,0,0
"688755.SH","787755","汉邦科技",2025-05-07,-0001-12-31,2200,528,22.77,26.35,0.5,5.009,0
"301636.SZ","301636","泽润新能",2025-04-28,-0001-12-31,1597,774,33.06,17.57,0.45,5.279,0.02
"920068.BJ","920068","天工股份",2025-04-28,-0001-12-31,6900,4200,3.94,15.19,255,2.719,0.04
"001400.SZ","001400","江顺科技",2025-04-15,2025-04-24,1500,1500,37.36,15.32,1.5,5.604,0.01
"301560.SZ","301560","众捷汽车",2025-04-15,2025-04-25,3040,1216,16.5,21.3,0.7,5.016,0.02
"603202.SH","732202","天有为",2025-04-14,2025-04-24,4000,2611,93.5,13.5,1.25,37.4,0.03
"301662.SZ","301662","宏工科技",2025-04-08,2025-04-17,2000,813,26.6,7.05,0.45,5.32,0.02
"603120.SH","732120","肯特催化",2025-04-07,2025-04-16,2260,1808,15,16.76,0.9,3.39,0.03
"001335.SZ","001335","信凯科技",2025-03-31,2025-04-15,2343,1875,12.8,11.44,0.9,3,0.02
"301665.SZ","301665","泰禾股份",2025-03-31,2025-04-11,4500,1485,10.27,13.4,0.7,4.622,0.02
"603210.SH","732210","泰鸿万立",2025-03-28,2025-04-09,8510,5739,8.6,18.6,2.7,7.319,0.04
"603257.SH","732257","中国瑞林",2025-03-26,2025-04-08,3000,1992,20.52,18.17,0.95,6.156,0.03
"301658.SZ","301658","首航新能",2025-03-24,2025-04-02,4124,1617,11.8,15.88,0.75,4.866,0.02
"920029.BJ","920029","开发科技",2025-03-18,2025-03-28,3849,2677,30.38,8.46,158.96,11.692,0.17
"301616.SZ","301616","浙江华业",2025-03-17,2025-03-27,2000,2000,20.87,25.22,2,4.174,0.01
"688757.SH","787757","胜科纳米",2025-03-14,2025-03-25,4033,1036,9.08,42.64,0.65,3.662,0.03
"301535.SZ","301535","浙江华远",2025-03-14,2025-03-27,6379,2488,4.92,25.91,1.2,3.139,0.02
"301629.SZ","301629","矽电股份",2025-03-11,2025-03-24,1043,1043,52.28,26.23,1,5.454,0.01
"001382.SZ","001382","新亚电缆",2025-03-11,2025-03-21,6200,4340,7.4,18.71,1.85,4.588,0.03
"603124.SH","732124","江南新材",2025-03-10,2025-03-20,3644,2335,10.54,12.4,1.15,3.84,0.03
"301501.SZ","301501","恒鑫生活",2025-03-07,2025-03-19,2550,1237,39.92,19.24,0.7,10.18,0.02
"301479.SZ","301479","弘景光电",2025-03-04,2025-03-18,1589,705,41.9,23.3,0.4,6.657,0.02
"603271.SH","732271","永杰新材",2025-02-28,2025-03-11,4920,3149,20.6,16.43,1.55,10.135,0.03
"301275.SZ","301275","汉朔科技",2025-02-28,2025-03-11,4224,1352,27.5,16.75,0.65,11.616,0.02
"603409.SH","732409","汇通控股",2025-02-21,2025-03-04,3151,2521,24.18,20.72,1.25,7.619,0.03
"301173.SZ","301173","毓恬冠佳",2025-02-20,2025-03-03,2196,882,28.33,16.07,0.5,6.221,0.02
